width,serial_time,parallel_time
262,0.049849,0.000001
263,0.071129,0.000000
264,0.064200,0.000000
265,0.048403,0.000000
266,0.078281,0.000001
267,0.061005,0.000000
268,0.052081,0.000000
269,0.068762,0.000000
270,0.052138,0.000000
271,0.049310,0.000000
272,0.047848,0.000001
273,0.054557,0.000000
274,0.060136,0.000001
275,0.044515,0.000000
276,0.067633,0.000001
277,0.067852,0.000001
278,0.057422,0.000000
279,0.055714,0.000000
280,0.048354,0.000000
281,0.053141,0.000001
282,0.067647,0.000001
283,0.067860,0.000007
284,0.072373,0.000000
285,0.064991,0.000000
286,0.060962,0.000001
287,0.063704,0.000000
288,0.062374,0.000000
289,0.069030,0.000001
290,0.058523,0.000000
291,0.049945,0.000000
292,0.051937,0.000001
293,0.057621,0.000003
294,0.057472,0.000000
295,0.057979,0.000000
296,0.058443,0.000000
297,0.056167,0.000000
298,0.065133,0.000000
299,0.066604,0.000001
300,0.060817,0.000000
301,0.083757,0.000000
302,0.068852,0.000001
303,0.080886,0.000001
304,0.061577,0.000000
305,0.086169,0.000001
306,0.065124,0.000000
307,0.066471,0.000001
308,0.080601,0.000000
309,0.078847,0.000001
310,0.072407,0.000001
311,0.073460,0.000001
312,0.078942,0.000001
313,0.073915,0.000001
314,0.070409,0.000000
315,0.073002,0.000001
316,0.073313,0.000001
317,0.070265,0.000001
318,0.073942,0.000001
319,0.081364,0.000000
320,0.090652,0.000000
321,0.076580,0.000001
322,0.070076,0.000001
323,0.088682,0.000001
324,0.076390,0.000000
325,0.078882,0.000000
326,0.070313,0.000000
327,0.084099,0.000001
328,0.071514,0.000001
329,0.073353,0.000000
330,0.077999,0.000001
331,0.075855,0.000001
332,0.062469,0.000000
333,0.064454,0.000000
334,0.067398,0.000001
335,0.085924,0.000000
336,0.070721,0.000001
337,0.069186,0.000001
338,0.062423,0.000001
339,0.063296,0.000000
340,0.062906,0.000001
341,0.062078,0.000000
342,0.065978,0.000001
343,0.068606,0.000000
344,0.069894,0.000001
345,0.076535,0.000001
346,0.061545,0.000000
347,0.080536,0.000001
348,0.077256,0.000001
349,0.077074,0.000001
350,0.077885,0.000000
351,0.065869,0.000000
352,0.066353,0.000000
353,0.069386,0.000000
354,0.093394,0.000001
355,0.097801,0.000001
356,0.095573,0.000001
357,0.087987,0.000001
358,0.084008,0.000000
359,0.077344,0.000000
360,0.080333,0.000001
361,0.101384,0.000001
362,0.064607,0.000000
363,0.070593,0.000001
364,0.101585,0.000000
365,0.101177,0.000000
366,0.075631,0.000000
367,0.067100,0.000000
368,0.067755,0.000001
369,0.077694,0.000000
370,0.076592,0.000000
371,0.067605,0.000001
372,0.068833,0.000000
373,0.070932,0.000000
374,0.072046,0.000000
375,0.082123,0.000001
376,0.068406,0.000000
377,0.083392,0.000001
378,0.071437,0.000001
379,0.072114,0.000000
380,0.074317,0.000000
381,0.073178,0.000000
382,0.066963,0.000001
383,0.072413,0.000000
384,0.084327,0.000000
385,0.085287,0.000000
386,0.073409,0.000001
387,0.083770,0.000001
388,0.099454,0.000001
389,0.103306,0.000000
390,0.077846,0.000000
391,0.080166,0.000000
392,0.084017,0.000000
393,0.090198,0.000000
394,0.079601,0.000000
395,0.084170,0.000000
396,0.090231,0.000000
397,0.085210,0.000001
398,0.090579,0.000001
399,0.095854,0.000000
400,0.081945,0.000001
