width,serial_time,parallel_time
399,0.255916,0.201789
400,0.256143,0.202505
401,0.256386,0.202852
402,0.257189,0.203490
403,0.258014,0.204159
404,0.258824,0.204564
405,0.259291,0.204885
406,0.260089,0.205511
407,0.261129,0.206238
408,0.261407,0.206621
409,0.262107,0.207294
410,0.263352,0.207714
411,0.263293,0.208697
412,0.264059,0.208375
413,0.267478,0.211617
414,0.268287,0.215992
415,0.274740,0.217005
416,0.275635,0.217981
417,0.276524,0.218146
418,0.276972,0.218542
419,0.277899,0.220480
420,0.279454,0.220871
421,0.279547,0.220254
422,0.279940,0.221185
423,0.280842,0.222113
424,0.280649,0.222077
425,0.281405,0.222917
426,0.282669,0.222911
427,0.282981,0.223850
428,0.283319,0.224019
429,0.284398,0.224365
430,0.284956,0.225272
431,0.285003,0.226177
432,0.286442,0.225667
433,0.286564,0.225993
434,0.286801,0.227524
435,0.287637,0.227856
436,0.288490,0.228275
437,0.289577,0.229522
438,0.290632,0.229419
439,0.290802,0.230345
440,0.291311,0.230825
441,0.292012,0.230665
442,0.292776,0.231418
443,0.294107,0.232099
444,0.293874,0.232208
445,0.294177,0.232538
446,0.295585,0.233152
447,0.295804,0.233559
448,0.297004,0.234458
449,0.297879,0.234866
450,0.297888,0.235098
451,0.298779,0.236102
452,0.300000,0.236495
453,0.299996,0.237066
454,0.300613,0.238408
455,0.301540,0.238110
456,0.301872,0.238868
457,0.302465,0.239891
458,0.303321,0.240037
459,0.304235,0.240534
460,0.305101,0.241222
461,0.305058,0.241523
462,0.305711,0.241604
463,0.306785,0.242110
464,0.307189,0.243147
465,0.307984,0.244306
466,0.308759,0.244094
467,0.309320,0.245221
468,0.310113,0.245186
469,0.310605,0.245562
470,0.311225,0.246535
471,0.312881,0.247320
472,0.312309,0.247424
473,0.313188,0.248094
474,0.313724,0.248178
475,0.314812,0.249063
476,0.315289,0.249608
477,0.315769,0.249580
478,0.316174,0.250071
479,0.317572,0.251020
480,0.317506,0.250861
481,0.315529,0.245974
482,0.308753,0.243992
483,0.309910,0.244895
484,0.310195,0.245650
485,0.310951,0.245952
486,0.311879,0.246433
487,0.312707,0.247245
488,0.313367,0.247483
489,0.313912,0.247999
490,0.314381,0.248279
491,0.315213,0.248803
492,0.315807,0.249361
493,0.316308,0.249744
494,0.317079,0.250446
495,0.317524,0.250765
496,0.318423,0.251144
497,0.318561,0.252029
498,0.319269,0.252456
499,0.320120,0.253146
500,0.320651,0.253768
501,0.321501,0.254074
502,0.322362,0.254658
503,0.323031,0.255225
504,0.323608,0.255781
505,0.324035,0.256467
506,0.324440,0.256922
507,0.325140,0.257153
508,0.325924,0.257394
509,0.327024,0.258034
510,0.327469,0.258893
511,0.327727,0.259055
512,0.328817,0.259592
513,0.329330,0.259872
514,0.329591,0.260714
515,0.330586,0.261351
516,0.331130,0.261869
517,0.331687,0.262314
518,0.333130,0.262780
519,0.333284,0.263535
520,0.333915,0.263910
521,0.334676,0.264584
522,0.335154,0.265192
523,0.335723,0.265519
524,0.336335,0.265773
525,0.336650,0.266340
526,0.338034,0.266695
527,0.338571,0.267209
528,0.339015,0.267684
529,0.339462,0.268109
530,0.340400,0.268989
531,0.341572,0.269461
532,0.341869,0.270231
533,0.342340,0.270430
534,0.343738,0.271105
535,0.343962,0.271853
536,0.344441,0.272196
537,0.345357,0.272495
538,0.345711,0.272958
539,0.346548,0.273519
540,0.346655,0.274039
541,0.346877,0.274425
542,0.347956,0.274982
543,0.348665,0.275494
544,0.349207,0.276222
545,0.349685,0.276701
546,0.350790,0.276924
547,0.351634,0.278116
548,0.352070,0.278485
549,0.352529,0.278633
550,0.353445,0.279105
551,0.354693,0.279906
552,0.354674,0.280563
553,0.355360,0.280672
554,0.356067,0.281255
555,0.357132,0.281718
556,0.357144,0.282219
557,0.358406,0.282933
558,0.358274,0.283159
559,0.359311,0.283944
560,0.359400,0.284344
561,0.360132,0.284643
562,0.361142,0.285284
563,0.362197,0.285933
564,0.362575,0.286301
565,0.362999,0.286805
566,0.363666,0.287455
567,0.364918,0.287900
568,0.364914,0.288560
569,0.365505,0.288982
570,0.366049,0.289599
571,0.366962,0.289970
572,0.367266,0.290357
573,0.368154,0.290969
574,0.368975,0.291577
575,0.369270,0.292188
576,0.370048,0.292299
577,0.370938,0.292891
578,0.371972,0.293408
579,0.372846,0.294094
580,0.373316,0.294571
581,0.373950,0.294976
582,0.374264,0.295837
583,0.374780,0.296189
584,0.375696,0.296907
585,0.376275,0.297310
586,0.377250,0.297761
587,0.378227,0.298262
588,0.378563,0.298554
589,0.378807,0.299348
590,0.379341,0.299847
591,0.380186,0.300167
592,0.380890,0.300552
593,0.381126,0.301518
594,0.382419,0.301637
595,0.382465,0.302671
596,0.383174,0.302905
597,0.383764,0.303492
598,0.385550,0.304033
599,0.386048,0.304478
600,0.386474,0.304974
601,0.386832,0.305483
602,0.387647,0.305882
603,0.388063,0.306341
604,0.388714,0.307163
605,0.389135,0.307332
606,0.389655,0.308333
607,0.390246,0.308510
608,0.390978,0.309109
609,0.391448,0.309283
610,0.392684,0.309959
611,0.393400,0.310629
612,0.393837,0.311043
613,0.394858,0.311571
614,0.394982,0.312431
615,0.395990,0.313005
616,0.396633,0.313437
617,0.397226,0.313761
618,0.397602,0.314187
619,0.398279,0.314596
620,0.398577,0.314985
621,0.399440,0.315915
622,0.400180,0.316374
623,0.400795,0.316841
624,0.401319,0.317142
625,0.401963,0.317754
626,0.402414,0.318230
627,0.403478,0.319058
628,0.404610,0.319298
629,0.405219,0.319993
630,0.405251,0.320231
631,0.406438,0.320936
632,0.406806,0.321230
633,0.407935,0.321824
634,0.408671,0.322430
635,0.408504,0.323412
636,0.409759,0.323554
637,0.410643,0.323579
638,0.410900,0.324305
639,0.411489,0.324743
640,0.412294,0.325169
641,0.412117,0.325757
642,0.413576,0.326320
643,0.413814,0.327010
644,0.415286,0.327793
645,0.415080,0.327962
646,0.416409,0.328987
647,0.416579,0.329083
648,0.418045,0.329348
649,0.418344,0.329811
650,0.418796,0.330446
651,0.419103,0.331215
652,0.424456,0.335583
653,0.424689,0.335934
654,0.423840,0.335247
655,0.425834,0.335224
656,0.422437,0.333385
657,0.422738,0.333843
658,0.423633,0.334285
659,0.423945,0.334964
660,0.424800,0.335458
661,0.425053,0.335987
662,0.426793,0.336517
663,0.426862,0.337438
664,0.427607,0.337730
665,0.428469,0.338653
666,0.429516,0.339347
667,0.430061,0.339584
668,0.430504,0.340049
669,0.431025,0.340531
670,0.431597,0.341420
671,0.432215,0.341768
672,0.432485,0.342232
673,0.433753,0.372333
674,0.436851,0.360036
675,0.447583,0.354733
676,0.466731,0.344104
677,0.435336,0.344143
678,0.434770,0.361014
679,0.450769,0.345050
680,0.438414,0.345471
681,0.438622,0.345090
682,0.439041,0.345534
683,0.438627,0.348526
684,0.452871,0.352608
685,0.440071,0.348035
686,0.451138,0.348414
687,0.442012,0.348588
688,0.454345,0.355115
689,0.446473,0.352929
690,0.447092,0.354049
691,0.447567,0.366305
692,0.451193,0.355677
693,0.458282,0.355731
694,0.466377,0.355790
695,0.450732,0.363970
696,0.451523,0.357313
697,0.451298,0.357982
698,0.454170,0.373092
699,0.453768,0.358493
700,0.453412,0.358202
701,0.453795,0.359286
702,0.455030,0.359831
703,0.455122,0.359958
704,0.456041,0.361298
705,0.457137,0.360977
706,0.457772,0.361577
707,0.459549,0.361793
708,0.458371,0.362377
709,0.459110,0.362772
710,0.459929,0.363486
711,0.460364,0.363881
712,0.461140,0.364402
713,0.461426,0.364950
714,0.462172,0.365885
715,0.462644,0.365830
716,0.463417,0.366327
717,0.464091,0.366858
718,0.465100,0.367246
719,0.465460,0.368222
720,0.466072,0.368541
721,0.466778,0.368885
722,0.467544,0.369535
723,0.468108,0.370453
724,0.468833,0.370792
725,0.469558,0.371086
726,0.470227,0.371727
727,0.471135,0.372334
728,0.471499,0.372998
729,0.472262,0.373084
730,0.472842,0.374066
731,0.473468,0.374097
732,0.474232,0.374745
733,0.474467,0.375041
734,0.475598,0.375587
735,0.475726,0.376044
736,0.476939,0.376556
737,0.476966,0.377408
738,0.477823,0.377707
739,0.478902,0.378427
740,0.479273,0.378966
741,0.480039,0.379310
742,0.480976,0.379996
743,0.481702,0.380467
744,0.481798,0.381200
745,0.482545,0.381245
746,0.483023,0.381960
747,0.483675,0.382501
748,0.484576,0.382888
749,0.484931,0.383560
750,0.485895,0.383888
751,0.486161,0.384682
752,0.486531,0.384683
753,0.487205,0.385198
754,0.488110,0.385871
755,0.489022,0.386355
756,0.489341,0.387053
757,0.489943,0.387123
758,0.490569,0.388295
759,0.491761,0.388450
760,0.492407,0.389129
761,0.493036,0.389962
762,0.493566,0.390264
763,0.494078,0.391551
764,0.494803,0.391206
765,0.495488,0.391835
766,0.495973,0.392041
767,0.496931,0.394082
768,0.492625,0.389474
769,0.493356,0.389815
770,0.494347,0.390476
771,0.495011,0.390919
772,0.495165,0.391177
773,0.495440,0.391731
774,0.496370,0.391957
775,0.497232,0.392959
776,0.498007,0.393251
777,0.498648,0.393952
778,0.499081,0.394603
779,0.500065,0.394868
780,0.500381,0.395616
781,0.501126,0.396002
782,0.501767,0.396446
783,0.502304,0.397057
784,0.502808,0.397422
785,0.503491,0.397975
786,0.504074,0.398210
787,0.505384,0.398980
788,0.505631,0.399611
789,0.506899,0.399758
790,0.506929,0.400733
791,0.507848,0.401001
792,0.508429,0.401592
793,0.508783,0.402183
794,0.509728,0.402477
795,0.510468,0.402860
796,0.510493,0.403438
797,0.511981,0.404148
798,0.513230,0.404860
799,0.513288,0.405243
800,0.514569,0.405359
801,0.514342,0.405857
802,0.515479,0.406912
803,0.515585,0.407562
804,0.516804,0.407432
805,0.516955,0.408897
806,0.517842,0.409306
807,0.519182,0.409851
808,0.518958,0.409766
809,0.519411,0.409946
810,0.520999,0.410392
811,0.521192,0.411522
812,0.521895,0.411313
813,0.522179,0.411928
814,0.522238,0.412934
815,0.522845,0.413161
816,0.523436,0.413717
817,0.524452,0.414176
818,0.525236,0.414606
819,0.526018,0.415641
820,0.526992,0.415739
821,0.526982,0.416210
822,0.527978,0.416979
823,0.529078,0.417266
824,0.529620,0.418209
825,0.530857,0.418349
826,0.530686,0.418639
827,0.530697,0.419486
828,0.531654,0.419398
829,0.533112,0.419944
830,0.532866,0.420678
831,0.533159,0.421056
832,0.534670,0.421421
833,0.535282,0.422141
834,0.535443,0.422752
835,0.535986,0.423957
836,0.537349,0.424104
837,0.537752,0.424348
838,0.538854,0.425075
839,0.539905,0.425698
840,0.539704,0.426190
841,0.540405,0.426773
842,0.541433,0.426836
843,0.541724,0.427332
